case_id,original_probability,original_class,desired_class,start_time,elapsed_seconds,counterfactuals_requested,counterfactuals_found,generation_status,exception_class,error_message
GER_XAI_001,0.9466822,1,0,2026-08-21T22:27:05.573394+00:00,4.806793100084178,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_002,0.9256946,1,0,2026-08-21T22:27:10.396927+00:00,5.840057399938814,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_003,0.90678245,1,0,2026-08-21T22:27:16.253935+00:00,4.497518600081094,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_004,0.9063597,1,0,2026-08-21T22:27:20.766725+00:00,5.470638599945232,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_005,0.9055074,1,0,2026-08-21T22:27:26.253304+00:00,5.087266099988483,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_006,0.5018516,1,0,2026-08-21T22:27:31.352059+00:00,6.014298300025985,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_007,0.5034409,1,0,2026-08-21T22:27:37.380296+00:00,4.457913200021721,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_008,0.5135554,1,0,2026-08-21T22:27:41.856087+00:00,28.781586299999617,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_009,0.51524305,1,0,2026-08-21T22:28:10.646475+00:00,5.545313600101508,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_010,0.5176819,1,0,2026-08-21T22:28:16.204767+00:00,7.09505869995337,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_011,0.011951139,0,1,2026-08-21T22:28:23.311506+00:00,6.7664472999749705,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_012,0.012772601,0,1,2026-08-21T22:28:30.087485+00:00,6.786195700056851,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_013,0.014923423,0,1,2026-08-21T22:28:36.885666+00:00,7.861526999971829,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_014,0.020744441,0,1,2026-08-21T22:28:44.760870+00:00,7.224927600007504,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_015,0.024179073,0,1,2026-08-21T22:28:51.996595+00:00,7.016172000090592,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_016,0.48432785,0,1,2026-08-21T22:28:59.022826+00:00,9.626558999996632,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_017,0.48025113,0,1,2026-08-21T22:29:08.701190+00:00,15.64807410002686,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_018,0.47793216,0,1,2026-08-21T22:29:24.379049+00:00,11.80630019993987,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_019,0.4572692,0,1,2026-08-21T22:29:36.193226+00:00,7.6094799999846146,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
GER_XAI_020,0.45461446,0,1,2026-08-21T22:29:43.811576+00:00,17.336421800078824,1,0,technical_error,UserConfigValidationException,"The category 4 does not occur in the training data for feature Attribute2. Allowed categories are ['36', '12', '48', '24', '20', '30', '18', '15', '21', '10', '9', '6', '8', '42', '7', '14', '45', '27', '4', '11', '13', '26', '40', '22', '47', '33', '60', '28', '39', '54', '16']"
