case_id,rank,original_feature,display_feature,display_value,shap_value,direction
XAI_001,1,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.457252307156537,0.4987246096134186,increases model risk output
XAI_001,2,EMPLOYMENT_YEARS,Employment duration,1.4647501711156743,0.348210871219635,increases model risk output
XAI_001,3,CNT_FAM_MEMBERS,Family members,6.0,0.3056110739707947,increases model risk output
XAI_001,4,AMT_GOODS_PRICE,Goods price,436500.0,0.27369025349617004,increases model risk output
XAI_001,5,NAME_INCOME_TYPE,Income type: Working,Working,0.11721689999103546,increases model risk output
XAI_002,1,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.475025190729813,0.4998742938041687,increases model risk output
XAI_002,2,AMT_GOODS_PRICE,Goods price,450000.0,0.26571357250213623,increases model risk output
XAI_002,3,EMPLOYMENT_YEARS,Employment duration,1.5523613963039014,0.2553567886352539,increases model risk output
XAI_002,4,AMT_ANNUITY,Annuity amount,31261.5,0.13223060965538025,increases model risk output
XAI_002,5,AMT_REQ_CREDIT_BUREAU_YEAR,Credit enquiries in previous year,8.0,0.12805773317813873,increases model risk output
XAI_003,1,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.475025190729813,0.48879504203796387,increases model risk output
XAI_003,2,EMPLOYMENT_YEARS,Employment duration,0.6379192334017796,0.27344900369644165,increases model risk output
XAI_003,3,AMT_GOODS_PRICE,Goods price,450000.0,0.2379104495048523,increases model risk output
XAI_003,4,NAME_HOUSING_TYPE,Housing type: Rented apartment,Rented apartment,0.14497129619121552,increases model risk output
XAI_003,5,AMT_ANNUITY,Annuity amount,31261.5,0.12236088514328003,increases model risk output
XAI_004,1,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.560176540485486,0.5035167336463928,increases model risk output
XAI_004,2,EMPLOYMENT_YEARS,Employment duration,1.730321697467488,0.2614101767539978,increases model risk output
XAI_004,3,AMT_GOODS_PRICE,Goods price,450000.0,0.2288665473461151,increases model risk output
XAI_004,4,NAME_HOUSING_TYPE,Housing type: Rented apartment,Rented apartment,0.15810593962669373,increases model risk output
XAI_004,5,NAME_INCOME_TYPE,Income type: Working,Working,0.11937274783849716,increases model risk output
XAI_005,1,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.45945945945946,0.4956926107406616,increases model risk output
XAI_005,2,EMPLOYMENT_YEARS,Employment duration,3.2908966461327855,0.28210365772247314,increases model risk output
XAI_005,3,CNT_FAM_MEMBERS,Family members,6.0,0.24643529951572418,increases model risk output
XAI_005,4,AMT_GOODS_PRICE,Goods price,450000.0,0.22852174937725067,increases model risk output
XAI_005,5,NAME_INCOME_TYPE,Income type: Working,Working,0.12062057107686996,increases model risk output
XAI_006,1,EMPLOYMENT_YEARS,Employment duration,8.24914442162902,-0.15388765931129456,decreases model risk output
XAI_006,2,AMT_GOODS_PRICE,Goods price,288000.0,0.1436927169561386,increases model risk output
XAI_006,3,NAME_INCOME_TYPE,Income type: Working,Working,0.12092135101556778,increases model risk output
XAI_006,4,AMT_CREDIT,Requested credit amount,288000.0,-0.09117034077644348,decreases model risk output
XAI_006,5,CREDIT_INCOME_RATIO,Credit-to-income ratio,1.0666666666666667,-0.07034190744161606,decreases model risk output
XAI_007,1,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.713404097753642,0.1805889755487442,increases model risk output
XAI_007,2,NAME_INCOME_TYPE,Income type: Working,Pensioner,-0.15714024007320404,decreases model risk output
XAI_007,3,EMPLOYMENT_YEARS,Employment duration,,-0.14039303362369537,decreases model risk output
XAI_007,4,AMT_GOODS_PRICE,Goods price,675000.0,-0.10782406479120255,decreases model risk output
XAI_007,5,AMT_REQ_CREDIT_BUREAU_YEAR,Credit enquiries in previous year,6.0,0.08139786124229431,increases model risk output
XAI_008,1,NAME_CONTRACT_TYPE,Contract type: Cash loans,Revolving loans,-0.31689468026161194,decreases model risk output
XAI_008,2,EMPLOYMENT_YEARS,Employment duration,1.864476386036961,0.30252355337142944,increases model risk output
XAI_008,3,AMT_GOODS_PRICE,Goods price,135000.0,0.24642354249954224,increases model risk output
XAI_008,4,AMT_CREDIT,Requested credit amount,135000.0,-0.12171080708503723,decreases model risk output
XAI_008,5,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,20.0,0.09004083275794983,increases model risk output
XAI_009,1,AMT_GOODS_PRICE,Goods price,850500.0,-0.3118651509284973,decreases model risk output
XAI_009,2,EMPLOYMENT_YEARS,Employment duration,1.541409993155373,0.22281090915203094,increases model risk output
XAI_009,3,AMT_CREDIT,Requested credit amount,985221.0,0.15331919491291046,increases model risk output
XAI_009,4,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,30.140143171806166,-0.12895473837852478,decreases model risk output
XAI_009,5,AMT_ANNUITY,Annuity amount,32688.0,0.11330019682645798,increases model risk output
XAI_010,1,AMT_GOODS_PRICE,Goods price,688500.0,-0.3333863615989685,decreases model risk output
XAI_010,2,AMT_ANNUITY,Annuity amount,29353.5,0.12248483300209045,increases model risk output
XAI_010,3,AMT_CREDIT,Requested credit amount,824823.0,0.0990159884095192,increases model risk output
XAI_010,4,NAME_INCOME_TYPE,Income type: Working,Working,0.09024957567453384,increases model risk output
XAI_010,5,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,28.099647401502377,0.07837996631860733,increases model risk output
XAI_011,1,EMPLOYMENT_YEARS,Employment duration,36.12594113620808,-1.5729395151138306,decreases model risk output
XAI_011,2,AMT_GOODS_PRICE,Goods price,2250000.0,-0.9047561883926392,decreases model risk output
XAI_011,3,NAME_CONTRACT_TYPE,Contract type: Cash loans,Revolving loans,-0.74076247215271,decreases model risk output
XAI_011,4,AMT_ANNUITY,Annuity amount,112500.0,-0.3247699439525604,decreases model risk output
XAI_011,5,AMT_CREDIT,Requested credit amount,2250000.0,-0.2614586055278778,decreases model risk output
XAI_012,1,EMPLOYMENT_YEARS,Employment duration,34.53798767967146,-1.363280177116394,decreases model risk output
XAI_012,2,CREDIT_ANNUITY_RATIO,Credit-to-annuity ratio,10.0,-0.9254103899002075,decreases model risk output
XAI_012,3,AMT_GOODS_PRICE,Goods price,2250000.0,-0.7669459581375122,decreases model risk output
XAI_012,4,NAME_CONTRACT_TYPE,Contract type: Cash loans,Revolving loans,-0.527675449848175,decreases model risk output
XAI_012,5,AMT_ANNUITY,Annuity amount,225000.0,-0.30133911967277527,decreases model risk output
