case_id,original_probability,original_class,desired_class,eligible_features_to_vary,start_time,elapsed_seconds,counterfactuals_requested,counterfactuals_found,generation_status,exception_class,error_message
HELOC_XAI_001,0.9483221,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:07.792663+00:00,21.60523790004663,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_002,0.9451859,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:29.407764+00:00,6.85960960004013,1,0,technical_error,ValueError,empty range for randrange()
HELOC_XAI_003,0.94406813,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:36.280050+00:00,0.5313630999298766,1,0,technical_error,ValueError,empty range for randrange()
HELOC_XAI_004,0.9414553,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:36.821643+00:00,0.5224794999230653,1,0,technical_error,ValueError,empty range for randrange()
HELOC_XAI_005,0.9411751,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:37.354552+00:00,0.5802659000037238,1,0,technical_error,ValueError,empty range for randrange()
HELOC_XAI_006,0.50008893,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:37.946207+00:00,0.6398529000580311,1,1,success,,
HELOC_XAI_007,0.5015111,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:38.599984+00:00,14.1286853000056,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_008,0.50399876,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:52.738288+00:00,0.5182134000351653,1,1,success,,
HELOC_XAI_009,0.50418466,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:53.264953+00:00,0.5064986000070348,1,1,success,,
HELOC_XAI_010,0.50454855,1,0,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:01:53.782836+00:00,14.90475200000219,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_011,0.0683811,0,1,net_fraction_of_revolving_burden|percentage_trades_with_balance,2026-08-22T23:02:08.700747+00:00,13.174146199948154,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_012,0.07010493,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:02:21.885308+00:00,15.799644500017166,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_013,0.07060304,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:02:37.696693+00:00,14.250978699885309,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_014,0.07201139,0,1,net_fraction_of_revolving_burden|percentage_trades_with_balance,2026-08-22T23:02:51.960498+00:00,13.299864200060256,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_015,0.07266821,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:03:05.270251+00:00,14.623929299996234,1,0,no_counterfactual_returned,UserConfigValidationException,No counterfactuals found for any of the query points! Kindly check your configuration.
HELOC_XAI_016,0.49967334,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:03:19.903566+00:00,0.4414347999263555,1,1,success,,
HELOC_XAI_017,0.49921927,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:03:20.354689+00:00,0.4454098000423983,1,1,success,,
HELOC_XAI_018,0.4984668,0,1,net_fraction_of_revolving_burden|percentage_trades_with_balance,2026-08-22T23:03:20.810649+00:00,0.4891527999425307,1,1,success,,
HELOC_XAI_019,0.49824855,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:03:21.310140+00:00,0.503629400045611,1,1,success,,
HELOC_XAI_020,0.4977838,0,1,net_fraction_of_revolving_burden|net_fraction_of_installment_burden|percentage_trades_with_balance,2026-08-22T23:03:21.825069+00:00,0.5053954999893904,1,1,success,,
