feature,raw_point_biserial,valid_only_point_biserial,valid_row_count,target_0_valid_mean,target_1_valid_mean,absolute_valid_only_association
estimate_of_risk,-0.21676982197108877,-0.4603807114981559,9861,76.7908303401648,67.69442277691108,0.4603807114981559
net_fraction_of_revolving_burden,0.298174219928662,0.35575369525247247,9685,24.266709237973604,44.83497092440345,0.35575369525247247
percentage_trades_with_balance,0.1985536755960045,0.2793689414821856,9853,60.04396533502431,72.36509176103085,0.2793689414821856
percentage_of_legal_trades,-0.12201021317357302,-0.25735756987762237,9871,95.51531151003168,89.45093457943925,0.25735756987762237
nr_banks_with_high_ratio,0.029090528215215156,0.24563162670738786,9288,0.7092896174863388,1.464035646085296,0.24563162670738786
average_duration_of_resolution,-0.20916846970253788,-0.24386899543319723,9871,87.4299894403379,70.80179127725857,0.24386899543319723
maximum_illegal_trades_over_last_year,-0.1099464640269337,-0.2367589538618466,9871,6.163463569165787,5.384151090342679,0.2367589538618466
maximum_illegal_trades,-0.10720404286102715,-0.2167635551415502,9871,6.791974656810982,5.989680685358255,0.2167635551415502
months_since_first_trade,-0.18515532903389836,-0.21605802099259772,9632,222.7865945945946,180.43139604553625,0.21605802099259772
months_since_last_inquiry_not_recent,-0.11025321751865913,-0.19268572832292696,7540,3.431410433342534,1.595608884350268,0.19268572832292696
months_since_last_illegal_trade,0.057066888883746864,-0.1903012371668935,5031,27.051640667025282,18.848360655737704,0.1903012371668935
nr_trades_insolvent_for_over_60_days,0.06721069706903954,0.16974746402742186,9871,0.3624076029567054,0.7832943925233645,0.16974746402742186
nr_inquiries_in_last_6_months,0.08096394979647749,0.14364024570844994,9871,1.1364308342133052,1.7505841121495327,0.14364024570844994
number_of_satisfactory_trades,-0.12308011831163224,-0.14109198288623795,9871,22.785005279831047,19.58781152647975,0.14109198288623795
nr_trades_insolvent_for_over_90_days,0.04340167415968266,0.14044288423753612,9871,0.23949313621964097,0.5186915887850467,0.14044288423753612
percentage_of_installment_trades,0.11154161158943088,0.14041838468529363,9871,31.99324181626188,37.03913551401869,0.14041838468529363
nr_inquiries_in_last_6_months_not_recent,0.07665965955707993,0.13799752362835782,9871,1.0958817317845828,1.6748442367601246,0.13799752362835782
nr_revolving_trades_with_balance,0.05009859267148552,0.13153843591113473,9715,3.6921606118546846,4.487420127795527,0.13153843591113473
nr_total_trades,-0.09150362941030014,-0.10078661706610334,9871,24.0,21.377531152647975,0.10078661706610334
nr_trades_initiated_in_last_year,0.032649401333231146,0.07746248759960966,9871,1.7163674762407604,1.9998052959501558,0.07746248759960966
net_fraction_of_installment_burden,0.08364503028162057,0.07384217594765446,6452,66.51626155426224,70.21042197677711,0.07384217594765446
nr_installment_trades_with_balance,0.03433742743530156,0.05093270284089125,9010,2.397237827715356,2.563951034191642,0.05093270284089125
months_since_last_trade,-0.04693725450540792,-0.046343401667252634,9871,10.21414994720169,9.011682242990654,0.046343401667252634
