case_id,case_type,original_probability,original_class,desired_class,eligible_modifiable_feature_count,first_pass_status,first_pass_elapsed_seconds,retry_performed,retry_status,retry_elapsed_seconds,final_status,technical_retry_performed,technical_retry_status,valid_counterfactual_available,counterfactual_source
HELOC_XAI_001,high-confidence positive,0.9483221,1,0,3,no_counterfactual_returned,21.60523790004663,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_002,high-confidence positive,0.9451859,1,0,3,technical_error,6.85960960004013,False,not_performed,,no_counterfactual_returned_after_technical_retry,True,no_counterfactual_returned,False,none
HELOC_XAI_003,high-confidence positive,0.94406813,1,0,3,technical_error,0.5313630999298766,False,not_performed,,no_counterfactual_returned_after_technical_retry,True,no_counterfactual_returned,False,none
HELOC_XAI_004,high-confidence positive,0.9414553,1,0,3,technical_error,0.5224794999230653,False,not_performed,,no_counterfactual_returned_after_technical_retry,True,no_counterfactual_returned,False,none
HELOC_XAI_005,high-confidence positive,0.9411751,1,0,3,technical_error,0.5802659000037238,False,not_performed,,no_counterfactual_returned_after_technical_retry,True,no_counterfactual_returned,False,none
HELOC_XAI_006,borderline positive,0.50008893,1,0,3,success,0.6398529000580311,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_007,borderline positive,0.5015111,1,0,3,no_counterfactual_returned,14.1286853000056,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_008,borderline positive,0.50399876,1,0,3,success,0.5182134000351653,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_009,borderline positive,0.50418466,1,0,3,success,0.5064986000070348,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_010,borderline positive,0.50454855,1,0,3,no_counterfactual_returned,14.90475200000219,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_011,high-confidence negative,0.0683811,0,1,2,no_counterfactual_returned,13.174146199948154,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_012,high-confidence negative,0.07010493,0,1,3,no_counterfactual_returned,15.799644500017166,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_013,high-confidence negative,0.07060304,0,1,3,no_counterfactual_returned,14.250978699885309,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_014,high-confidence negative,0.07201139,0,1,2,no_counterfactual_returned,13.299864200060256,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_015,high-confidence negative,0.07266821,0,1,3,no_counterfactual_returned,14.623929299996234,False,not_performed,,no_counterfactual_returned_first_pass,False,not_performed,False,none
HELOC_XAI_016,borderline negative,0.49967334,0,1,3,success,0.4414347999263555,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_017,borderline negative,0.49921927,0,1,3,success,0.4454098000423983,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_018,borderline negative,0.4984668,0,1,2,success,0.4891527999425307,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_019,borderline negative,0.49824855,0,1,3,success,0.503629400045611,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
HELOC_XAI_020,borderline negative,0.4977838,0,1,3,success,0.5053954999893904,False,not_performed,,success_first_pass,False,not_performed,True,first_pass
