case_id,row_index,predicted_probability,lime_local_prediction,local_fidelity_r2,absolute_local_prediction_error
HELOC_XAI_001,1991,0.9483221,0.760383681368629,0.5653832972245543,0.18793841863137095
HELOC_XAI_002,9808,0.9451859,0.8293607342009566,0.5635332232608573,0.11582516579904345
HELOC_XAI_003,1706,0.94406813,0.9615445004556056,0.5732750421523378,0.017476370455605572
HELOC_XAI_004,10074,0.9414553,0.7450043907300425,0.5394168237714592,0.19645090926995745
HELOC_XAI_005,7308,0.9411751,0.9635635294031736,0.38866930470176386,0.022388429403173538
HELOC_XAI_006,2151,0.50008893,0.5686678763615011,0.43924649175438957,0.06857894636150108
HELOC_XAI_007,2900,0.5015111,0.5216886593089592,0.5051992060384389,0.02017755930895926
HELOC_XAI_008,5033,0.50399876,0.5217526141174125,0.41090765228266735,0.017753854117412482
HELOC_XAI_009,8449,0.50418466,0.5024306776173502,0.22979310192049907,0.001753982382649788
HELOC_XAI_010,8777,0.50454855,0.5322264746182479,0.5037326362932294,0.027677924618247918
HELOC_XAI_011,10266,0.0683811,0.36562921312195895,0.2877917611279285,0.297248113121959
HELOC_XAI_012,3808,0.07010493,0.303806375648995,0.43299949936225346,0.23370144564899498
HELOC_XAI_013,9320,0.07060304,0.34648948831303295,0.3816395585247728,0.27588644831303294
HELOC_XAI_014,3476,0.07201139,0.30016129427914917,0.4265373888516164,0.22814990427914916
HELOC_XAI_015,9299,0.07266821,0.16309932602124955,0.4247114819201149,0.09043111602124955
HELOC_XAI_016,4253,0.49967334,0.5316587428759214,0.37400582939843463,0.03198540287592139
HELOC_XAI_017,4094,0.49921927,0.5584166493481963,0.21635538018376288,0.059197379348196355
HELOC_XAI_018,4397,0.4984668,0.6325537178181478,0.458962705109656,0.13408691781814785
HELOC_XAI_019,9391,0.49824855,0.5023454999638071,0.4438134267607158,0.0040969499638070506
HELOC_XAI_020,4366,0.4977838,0.5511115523819095,0.16089372825916215,0.053327752381909455
